name,shortname,photo,reknown,bio
Alberto Lopez - Presidente,Alberto Lopez,FotosCBandera_Alberto.png,"Se graduó como Licenciado en Administración de Empresas de la Universidad Autónoma de Guadalajara y tiene una Maestría en Administración de Negocios 
Internacionales de Central Michigan University y una Maestría en Administración Avanzada de Proyectos de la George Washington University.
ABB
North America Supply Chain Manager Power Grids Integration. albertolopezsr@gmail.com","<p>Se graduó como Licenciado en Administración de Empresas de la Universidad Autónoma de Guadalajara. Tiene una Maestría en Administración de Negocios Internacionales de Central Michigan University y una Maestría en Administración Avanzada de Proyectos de George Washington University. Tiene certificaciones internacionales como Gerente de Compras,
    Gerente de Inventarios y Producción (CPIM-APICS) y como Profesional de Administración
    de Proyectos (PMP-PMI).</p>
  <p>Después de 15 años en diferentes puestos gerenciales en IBM de México, fue invitado a
    formar parte de la transformación de la cadena de suministro de IBM a nivel corporativo
    con base en Raleigh, NC, donde ha vivido los últimos 16 años.
    Actualmente, Alberto está retirado de IBM y es el Gerente Regional de la Cadena de
    Suministros para la división de Power Grids de ABB Inc. Alberto sigue viviendo en Raleigh,
    NC con su esposa Elodia y sus hijos Liliana y Alberto Jr. </p>"
Rodolfo Ruiz - Vice Presidente,Rodolfo Ruiz,FotosCBandera_Rodolfo.png,"Ingeniero en Computación, Universidad Autónoma de Guadalajara
Nacido en Monterrey, NL, creció en la Ciudad de México, Querétaro y Guadalajara. Esposo y padre de tres, Paulina, Jacqueline y Alessandro. Amante del raquetbol, golf  y futbol soccer, seguidor del América, Barcelona y la Selección Mexicana","<p>Se graduó de Ingeniero en Computación en la Universidad Autónoma de Guadalajara.
      Originario de Monterrey, NL, creció en la Ciudad de México, Querétaro y Guadalajara.
      Inició su carrera como desarrollador de software en IBM Guadalajara y se ha desempeñado
      como diseñador y arquitecto de soluciones de software. Ha tenido la oportunidad de estar
      en dos asignaciones internacionales. La primera por 2 años en IBM Raleigh, Carolina del
      Norte de 1995-1997, al frente del equipo de desarrollo de software.</p>
      <p>En el 2005, como parte de la venta de la División de PCs, pasó a ser parte de Lenovo, ahora
      la compañía número uno mundial en ventas de computadoras personales. Del 2007 al
      2010, fue trasladado a Shenzhen China, con la misión de abrir un laboratorio de desarrollo
      de software, el cual cuenta ahora con más de 250 ingenieros.</p>
      <p>Actualmente funge como Director de Operaciones y estrategia, en Lenovo, Raleigh NC, al
      frente de 4 laboratorios de software, en Beijing y Shenzhen, China; Yokohama, Japón y
      Morrisville, Carolina del Norte.</p>
      <p>Esposo y padre de tres, Paulina, Jacqueline y Alessandro. Amante del raquetbol, golf y
      futbol soccer, seguidor del América, Barcelona y la Selección Mexicana. </p>"
Luis Fuentes - Secretario ,Luis Fuentes,FotosCBandera_Luis.png,"Licenciado en Mercadotecnia del ITESM, Campus Ciudad de México. Con estudios de
Marketing Research & Public Relations en European University Barcelona, España,
Graduado de Masco University MLP-Innovation program (Cohort 2) y Mega-Trends
program. Diploma de la Universidad La Salle en Packaging Design. Diploma Media
Communications and Advertising, (MGMO) Institute of Foreign Affairs of Moscow, Moscú,
Rusia.","<p>Licenciado en Mercadotecnia del ITESM, Campus Ciudad de México. Con estudios de Marketing Research & Public Relations en European University Barcelona, España, Graduado de Masco University MLP-Innovation program (Cohort 2) y Mega-Trends program. Diploma de la Universidad La Salle en Packaging Design. Diploma Media Communications and Advertising, (MGMO) Institute of Foreign Affairs of Moscow, Moscú, Rusia.</p>
      <p>Fue dueño operador de una franquicia de Taco Inn y posteriormente comenzó a trabajar en MascoMex (Parte de la familia Masco http://masco.com/) en 2006, uno de los productores y distribuidores más grandes del mundo en de productos para la construcción. Entre sus clientes más importantes están Home Depot, Lowes, Target, Walmart, Hoteles y Hospitales. Masco ofrece diferentes tipos de productos por medio de sus unidades de negocio como mezcladoras Delta, pinturas Behr, accesorios para baño de Liberty, seguridad para el baño, ventanas, gabinetes de cocina, plomería, entre otros. MascoMex distribuye productos de las empresas de la familia Masco, además de desarrollar marcas y productos específicos para México y Latino América.</p>
                                    <p>Empezó como asistente de Mercadotecnia y de ahí pasó por diferentes puestos como Gerente de cuentas clave, Gerente para Home Depot, Gerente de Retail, Ventas internacionales y Gerente de Mercadotecnia.</p>
          <p>En 2013 salió de MascoMex para formar parte de Liberty Hardware (Otra empresa de la familia Masco), donde estuvo encargado de las operaciones de la oficina de México. En noviembre 2015 se incorporó al corporativo en Winston Salem, Carolina del Norte como International Project & Marketing Manager.</p>"
Gerardo Santoyo - Socio Fundador,Gerardo Santoyo,FotosCBandera_Gerardo.png,"Se graduó como Ingeniero Electrónico del Instituto Tecnológico y de Estudios Superiores
de Occidente (ITESO) en Guadalajara y tiene una especialidad en cuidado del medio
ambiente y en seguridad industrial/laboral por la Universidad de Guadalajara.","<p>Se graduó como Ingeniero Electrónico del Instituto Tecnológico y de Estudios Superiores
                                    de Occidente (ITESO) en Guadalajara y tiene una especialidad en cuidado del medio
                                    ambiente y en seguridad industrial/laboral por la Universidad de Guadalajara.</p>
                                    <p>Laboró para IBM de México por 16 años en su planta de manufactura en Guadalajara, antes
                                    de ser transferido al corporativo de IBM en Somers NY en 2001 como gerente de Seguridad
                                    e Higiene Industrial para Latinoamérica por 2 años, y posteriormente para la región Asia
                                    Pacífico durante 2 años más.</p>
                                    <p>En 2005 fue transferido a IBM en Carolina del Norte como gerente regional del sureste de
                                    Estados Unidos.</p>
                                    <p>Cofundador en 2008, con su esposa Claudia, del preescolar y kindergarten con inmersión
                                    total en español Maracas Montessori en Raleigh.</p>
                                    <p>Renunció a IBM en 2012 para dedicarse por completo a este proyecto educativo.</p>"
Jorge Ramos - Tecnologia,Jorge Ramos,FotosCBandera_Jorge.png,"Se graduó como Ingeniero en Electrónica del Instituto Tecnológico de Estudios Superiores
de Occidente y tiene una Maestría en Ciencias Computacionales de la Houston Clear Lake
University. Tiene la certificación Profesional de Administración de Proyectos (PMP-PMI).","<p>Se graduó como Ingeniero en Electrónica del Instituto Tecnológico de Estudios Superiores
                                    de Occidente y tiene una Maestría en Ciencias Computacionales de la Houston Clear Lake
                                    University. Tiene la certificación Profesional de Administración de Proyectos (PMP-PMI).</p>
                                    <p>Inició su carrera en 1988 en IBM de México, desarrollando software para el sistema
                                    operativo del iSeries (AS/400). Después de 15 años en diferentes puestos gerenciales en
                                    IBM de México, decidió salir de IBM y abrir las oficinas en Guadalajara de Emergys Mexico,
                                    empresa de negocio de servicios de consultoría en IT y desarrollo de software aplicativo
                                    para empresas.</p>
                                    <p>En el 2007 se incorporó al cuerpo directivo de Emergys Corporation con base en
                                    Morrisville, NC. En el 2015 Jorge regresó a IBM para tomar la gerencia de desarrollo de
                                    aplicaciones corporativas tanto para empleados, como para clientes y asociados de
                                    negocios de IBM.</p>
                                    <p>Jorge ha vivido en Apex, NC los últimos 9 años con su esposa Mireya y sus hijos Jorge Jr y
                                    Alina.</p>"
Marco Domingez - Tesorero,Marco Dominguez,FotosCBandera_Marco.png,"Originario de Córdoba, Veracruz donde realizó sus estudios titulándose como Licenciado
en Contaduría Pública en la Universidad Del Valle de Orizaba. En el año 2000 se mudó a la
ciudad de Tijuana Baja California donde desempeñó diversos roles en el área financiera,
como Asistente de Finanzas, Contador General y Analista Financiero.","<p>Originario de Córdoba, Veracruz donde realizó sus estudios titulándose como Licenciado
                                    en Contaduría Pública en la Universidad Del Valle de Orizaba. En el año 2000 se mudó a la
                                    ciudad de Tijuana Baja California donde desempeñó diversos roles en el área financiera,
                                    como Asistente de Finanzas, Contador General y Analista Financiero.</p>
                                    <p>Completó una especialidad en Costos Industriales en la Universidad Autónoma de Baja
                                    California. En 2010 recibió una invitación por parte de Teleflex Medical Inc. para
                                    incorporarse al equipo de Tecnología Industrial como Analista de SAP en la ciudad de
                                    Raleigh, Carolina del Norte donde reside actualmente con su esposa y dos hijas. </p>"
Miguel Núñez-Wolff - Socio Fundador,Miguel Núñez-Wolff - Socio Fundador,FotosCBandera_Miguel.png,"IKA es un fabricante líder en tecnología y equipos de proceso, laboratorio y analítica, para diversas industrias incluyendo: farmacéutica, cuidado personal, cosmética, química,
petrolera, alimentos y bebidas. En su puesto actual, Miguel tiene la responsabilidad general
de ventas y mercadeo, dirección de empleados y representantes, fidelización de clientes y
alcance de metas para IKA Works, en toda la región del Caribe y América Latina. ","<p>IKA es un fabricante líder en tecnología y equipos de proceso, laboratorio y analítica, para
                                    diversas industrias incluyendo: farmacéutica, cuidado personal, cosmética, química,
                                    petrolera, alimentos y bebidas. En su puesto actual, Miguel tiene la responsabilidad general
                                    de ventas y mercadeo, dirección de empleados y representantes, fidelización de clientes y
                                    alcance de metas para IKA Works, en toda la región del Caribe y América Latina.</p>
                                    <p>Tiene más de 20 años de experiencia en ventas internacionales, mercadeo, estrategia,
                                    lanzamiento de nuevos productos; posicionamiento de marca, servicio al cliente, gestión de
                                    cuentas clave y negociación de contratos.</p>
                                    <p>Vino a los Estados Unidos después de haber sido elegido para representar a México como
                                    ""estudiante del mundo"" en la Comunidad Prototipo Experimental del Mañana (EPCOTCenter)
                                    de Walt Disney World.</p>
                                    <p>Después de EPCOT, en 1986, ingresó a la Universidad de Carolina del Norte en Chapel Hill,
                                    NC, donde se graduó en 3 años con una Licenciatura en Estudios Internacionales y de
                                    Negocios. También tiene licencia de piloto aviador.</p>
                                    <p>Actualmente vive en Chapel Hill, NC con su esposa, Charlotte y sus 2 pastores alemanes,
                                    Vada y Anya. Pasa mucho de su tiempo libre en bicicleta con su esposa y anualmente
                                    participa en numerosos eventos de caridad. En el 2012, en bicicleta, Miguel hizo el cruce de
                                    los Andes - desde Santiago, Chile a Mendoza, Argentina en 3 días, 418 kilómetros,
                                    temperaturas de 43°C a -5°C y subiendo a una altitud de 3200 metros. Es miembro del Club
                                    Rotario de Chapel Hill. Con muchísimo interés, espera participar y contribuir a la Misión y
                                    Objetivos de la “Red Global MX” Capitulo Raleigh. </p>"
Monica Vera - Socia Fundadora,Monica Vera - Socia Fundadora,FotosCBandera_Monica.png,"Originaria de la Ciudad de México. Se convirtió en socia de una empresa a los 21 años y
tuvo contactos internacionales en los negocios que aún mantiene. Después de terminar los
cinco años de la escuela dental en México, realizó un año de investigación con pacientes en
hospitales para desarrollar una tesis sobre los trastornos temporomandibulares. Obtuvo
una beca en estética dental, y otra en odontología restauradora. Trabajó tres años en uno
de los consultorios más prestigiados de México, que se especializan en odontología
cosmética. Durante este tiempo, también utilizó su formación y experiencia para trabajar
en programas como Operación Sonrisa, que presta servicios reconstructivos de forma
gratuita a los niños necesitados.","<p>Originario del estado de Chiapas. Estudió la Licenciatura en Ingeniería Química en el
                                    Instituto Tecnológico de Tuxtla Gutiérrez, la Maestría en Ingeniería en Hidráulica
                                    Ambiental en la Universidad Autónoma de Chiapas y posteriormente realizó un Doctorado
                                    y un Postdoctorado en el Departamento de Ingeniería Agrícola y Biológica de la
                                    Universidad de Florida.</p>
                                    <p>Durante su estudios doctorales, fue también Presidente de la Asociación Estudiantil
                                    Mexicans in Gainesville y en el 2009 obtuvo el “Certificate of Excellence for Outstanding
                                    International Student” por parte del Colegio de Ingeniería de la Universidad de Florida.
                                    Ha participado en múltiples ponencias internacionales de la American Society of
                                    Agricultural and Biological Engineers y la American Chemical Society, siempre enfocado en
                                    la mejora y cuidado del medio ambiente.</p>
                                    <p>Desde el 2012 se integró como modelador a la división de Seguridad Ambiental de Bayer en
                                    el Research Triangle Park de Carolina del Norte, siendo en único latino dentro del grupo de
                                    modeladores, situación que le ha permitido apoyar dentro de su área de especialización a
                                    otras regiones de Latinoamérica. Oscar y su familia radican desde hace 4 años en la ciudad
                                    de Raleigh.</p>"
Oscar Pérez - Socio Fundador,Oscar Pérez - Socio Fundador,FotosCBandera_Oscar.png,"Originario del estado de Chiapas. Estudió la Licenciatura en Ingeniería Química en el
Instituto Tecnológico de Tuxtla Gutiérrez, la Maestría en Ingeniería en Hidráulica
Ambiental en la Universidad Autónoma de Chiapas y posteriormente realizó un Doctorado
y un Postdoctorado en el Departamento de Ingeniería Agrícola y Biológica de la
Universidad de Florida.","Originaria de la Ciudad de Me_xico. Se convirtio_ en socia de una empresa a los 21 an_os y tuvo contactos internacionales en los negocios que au_n mantiene. Despue_s de terminar los cinco an_os de la escuela dental en Me_xico, realizo_ un an_o de investigacio_n con pacientes en hospitales para desarrollar una tesis sobre los trastornos temporomandibulares. Obtuvo una beca en este_tica dental, y otra en odontologi_a restauradora. Trabajo_ tres an_os en uno de los consultorios ma_s prestigiados de Me_xico, que se especializan en odontologi_a cosme_tica. Durante este tiempo, tambie_n utilizo_ su formacio_n y experiencia para trabajar en programas como Operacio_n Sonrisa, que presta servicios reconstructivos de forma gratuita a los nin_os necesitados.
Curso_ la maestri_a en Prostodoncia en la Escuela de Odontologi_a de la Universida de Carolina del Norte (UNC). Obtuvo una tercera beca en Implantologi_a, seguida de un an_o de ensen_anza a estudiantes del segundo, tercer y cuarto an_o de odontologi_a en UNC.
Sin licencia para practicar en EUA, no podi_a continuar con una carrera en el a_mbito dental, asi_ que decidio_ tomar un programa en UNC para obtener su licencia dental estadounidense. Ahora, al ser una dentista con licencia, es capaz de ayudar a la comunidad hispana y a otras personas necesitadas.
En 2012 participo_ en el Programa Internacional ma_s antiguo de la escuela de odontologi_a de UNC, Proyecto UNC Me_xico, que le permite combinar sus intereses profesionales y personales para beneficiar a los nin_os en los orfanatos del Proyecto y a los estudiantes de UNC. Se siente muy afortunada de servir de puente entre su alma mater, la Universidad Nacional Auto_noma de Me_xico y su nueva escuela en Carolina del Norte.
Actualmente trabaja en la creacio_n del “Dr. Glenn E. and Mary-Ann Minsley Endowment Fund for Maxillofacial Prosthetic Care”. Los recursos recabados por esta fundacio_n, servira_n para pagar pro_tesis, componentes, facturas de laboratorio y gastos relacionados con pro_tesis maxilofacial de pacientes sin recursos financieros."
,,,,
